Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20100150,15205,2010,11/1/2010 14:30,32296,TARGA RESOURCES OPERATING LP,N-4 LINE (NORMAL BUTANE),ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NORMAL BUTANE,LAKE CHARLES,CALCASIEU,LA,"3,025,989","-9,320,991",NATURAL FORCE DAMAGE,TEMPERATURE,2237,25,0,2237,NO,NO,YES,11/1/2010 14:45,1/15/2010 15:00,0,,,,,,,,,,,,,29360,136233,,,,,165593
20100262,15399,2010,11/1/2010 14:47,31454,"NUSTAR LOGISTICS, L.P.","46P HOUSTON 12"" REFINDED PRODUCTS PL",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,TAFT,SAN PATRICO,TX,"2,805,529","-9,732,797",MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",3,0,3,0,NO,NO,YES,11/1/2010 14:55,11/1/2010 22:08,0,,,,,,,,,,,,,30000,415,10000,7971,308883,0,357269
20100234,18134,2010,11/1/2010 15:00,9175,JAYHAWK PIPELINE LLC,CHASE KAW TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,CHASE,RICE,KS,"3,834,519","-9,831,356",CORROSION,INTERNAL,2,,1,1,NO,NO,YES,11/1/2010 15:10,1/13/2010 14:00,,,,,,,,,,,,,,2000,150,0,3000,6500,500,12150
20100026,17874,2010,11/1/2010 23:00,31684,CONOCOPHILLIPS,TANK 824,ONSHORE,TANK,CRUDE OIL,,,CUSHING,PAYNE,OK,"3,594,466","-9,675,427",NATURAL FORCE DAMAGE,TEMPERATURE,53,0,51,2,NO,NO,NO,,,,,,,,,,,,,,,,5000,150,0,0,100,32600,37850
20100106,17751,2010,12/1/2010 10:25,26085,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CUSHING,LINCOLN,OK,"3,593,749","-9,674,417",CORROSION,INTERNAL,21,0,21,0,NO,NO,YES,12/1/2010 10:25,1/14/2010 10:25,0,,,,,,,,,,,,,6826,150,0,13357,0,0,20333
20100082,17824,2010,12/1/2010 14:30,32080,"CCPS TRANSPORTATION, LLC","CCPS TRANSPORTATION, RUSH STATION",ONSHORE,ABOVEGROUND,CRUDE OIL,,,RUSHVILLE,SCHUYLER,IL,"4,016,833","-9,056,593",INCORRECT OPERATION,INCORRECT INSTALLATION,0.19,0,0.19,0,NO,NO,NO,,,,,,,,,,,,,,,,2500,0,0,30000,0,0,32500
20100037,18592,2010,12/1/2010 19:08,12105,"MAGELLAN AMMONIA PIPELINE, L.P.","MAGELLAN AMMONIA PIPELINE, LP",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,PAWNEE,PAWNEE,OK,"3,639,836","-9,674,622",MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,445,5,0,445,NO,NO,YES,12/1/2010 19:08,1/20/2010 14:34,19,,,,,,,,,,,,,175000,34000,68000,324000,1901615,15000,2517615
20100025,17505,2010,1/13/2010 7:36 AM,31174,"SHELL PIPELINE CO., L.P.",SORRENTO DOME,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,SORRENTO,ASCENSION,LA,"301,724","-90,782",NATURAL FORCE DAMAGE,TEMPERATURE,3.49,0,0,3.49,NO,NO,NO,,,0,,,,,,,,,,,,,0,254,0,0,0,0,254
20110071,18051,2010,1/13/2010 1:30 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GALENA PARK,HARRIS,TX,"294,305","-951,201",MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,6,0,6,0,NO,NO,NO,,,,,,,,,,,,,,,,0,504,0,0,30000,0,30504
20100100,17975,2010,1/13/2010 3:30 PM,22855,"KOCH PIPELINE COMPANY, L.P.",PARK RAPIDS PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,MENAHGA,HUBBARD,MN,"468,197","-951,489",INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.48,0,0,0.48,NO,NO,NO,,,0,,,,,,,,,,,,,0,34,0,0,64645,2000,66679
20100057,17557,2010,1/14/2010 1:15 PM,10250,KIANTONE PIPELINE CORP,GOWANDA BOOSTER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,GOWANDA,CATTARAUGUS,NY,"4,238,229","-7,891,763",NATURAL FORCE DAMAGE,TEMPERATURE,0.24,,0.2,0.04,NO,NO,NO,,,,,,,,,,,,,,,,5000,17,0,50000,20000,0,75017
20110083,17836,2010,1/15/2010 7:05 AM,31325,PACIFIC PIPELINE SYSTEM LLC,LINE 63 SOUTH PACIFIC PIPELINES BP REFINERY TANK F,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CARSON,LOS ANGELES,CA,"3,380,933","-11,825,413",OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1,0,1,0,NO,NO,NO,,,,,,,,,,,,,,,,0,75000,0,1000000,3500000,0,4575000
20100231,15700,2010,1/15/2010 3:00 PM,9175,JAYHAWK PIPELINE LLC,,ONSHORE,UNDERGROUND,CRUDE OIL,,,ELLIS,ELLIS,KS,"3,881,386","-9,942,139",CORROSION,INTERNAL,5,,2,3,NO,NO,YES,1/15/2010 15:10,1/16/2010 11:00,,,,,,,,,,,,,,0,180,700,0,1500,1500,3880
20100071,17807,2010,1/18/2010 10:00 AM,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,PRINCETON,GIBSON,IN,"3,832,113","-8,734,782",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2,0,0,2,NO,NO,NO,,,,,,,,,,,,,,,,1000,100,0,0,0,0,1100
20100031,17419,2010,1/19/2010 1:10 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",AURORA PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OTHER,JET FUEL,AURORA,ADAMS COUNTY,CO,"390,081","-10,401,317",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.79,,0.9,0.89,NO,NO,NO,,,,,,,,,,,,,,,,3500,500,0,10000,12000,0,26000
20100087,18354,2010,1/19/2010 8:00 PM,4805,EXPLORER PIPELINE CO,WOOD RIVER TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,HARTFORD,MADISON,IL,"3,882,204","-9,007,892",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3,0,2,1,NO,NO,YES,1/19/2010 20:01,1/20/2010 9:30,0,,,,,,,,,,,,,41000,85,0,5100,0,0,46185
20100091,17835,2010,1/21/2010 9:30 AM,31325,PACIFIC PIPELINE SYSTEM LLC,NORTH COLES LEVEE,ONSHORE,TANK,CRUDE OIL,,,TAFT,KERN,CA,"3,527,901","-11,931,192",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2,0,2,0,NO,NO,NO,,,,,,,,,,,,,,,,1200,150,0,2000,4457,0,7807
20100177,15873,2010,1/21/2010 12:30 PM,15674,PLANTATION PIPE LINE CO,FLUKER STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GREENSBURG,ST. HELENA,LA,"3,078,251","-9,075,851",NATURAL FORCE DAMAGE,TEMPERATURE,6.76,,6.76,0,NO,NO,YES,1/21/2010 12:30,1/21/2010 20:35,,,,,,,,,,,,,,85000,570,0,105000,10000,0,200570
20100257,17800,2010,1/21/2010 6:43 PM,15674,PLANTATION PIPE LINE CO,KOLA PUMPING STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,COLLINS,COVINGTON,MS,"3,163,251","-8,952,266",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0,0.71,0,NO,NO,,,,,,,,,,,,,,,,,2130,0,0,670,0,0,2800
20120021,17357,2010,1/22/2010 12:05 PM,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,EL DORADO STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,EL DORADO,BUTLER COUNTY,KS,"37,803,255","-96,873,398",INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.2,0,1.2,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,0,0,3623,3263,1981,8867
20100072,17806,2010,1/24/2010 12:30 PM,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",PRINCETON TERMINAL,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,PRINCETON,GIBSON,IN,"3,832,113","-8,734,782",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1,0,0,1,NO,NO,NO,,,,,,,,,,,,,,,,2000,100,0,0,0,0,2100
20100017,20768,2010,1/25/2010 11:07 AM,11733,LOOP INC,LOOP LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CUT OFF,LAFOURCHE,LA,29.47,"-9,025,444",MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,202,0,202,0,NO,NO,YES,1/25/2010 23:42,1/27/2010 14:00,0,,,,,,,,,,,,,30000,0,0,600000,37000,0,667000
20100018,17492,2010,1/27/2010 3:30 PM,31174,"SHELL PIPELINE CO., L.P.",PORT ARTHUR TK FM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,PORT ARTHUR,JEFFERSON,TX,"298,916","-939,897",ALL OTHER CAUSES,MISCELLANEOUS,0.6,0,0,0.6,NO,NO,NO,,,,,,,,,,,,,,,,50000,65,0,10000,0,0,60065
20100084,17313,2010,1/28/2010 11:00 AM,1248,BELLE FOURCHE PIPELINE CO,DICKINSON GATHERING,ONSHORE,ABOVEGROUND,CRUDE OIL,,,DICKINSON,STARK,ND,"46,851,256","-102,770,368",OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,20,,13,7,NO,NO,YES,1/28/2010 11:05,1/28/2010 18:00,0,,,,,,,,,,,,,500,420,0,750,9500,0,11170
20110376,17761,2010,2/2/2010 8:00,31476,SEMGROUP LP,FLEMING STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,HARPER,HARPER,KS,"37,355,914","-98,206,945",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,15,0,10,5,NO,NO,,,,0,,,,,,,,,,,,,3000,500,0,2000,1000,0,6500
20100244,17856,2010,4/2/2010 15:10,22430,WEST SHORE PIPELINE CO,MITCHELL FIELD TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,MILWAUKEE,MILWAUKEE,WI,"429,289","-878,884",NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0,0.19,0.05,NO,NO,,,,,,,,,,,,,,,,,2500,35,0,0,1986,0,4521
20100032,17394,2010,6/2/2010 11:30,22610,"MAGELLAN PIPELINE COMPANY, LP",EL DORADO WEST STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,EL DORADO,BUTLER,KS,"3,780,218","-9,690,935",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3,0,1.67,1.33,NO,NO,,,,,,,,,,,,,,,,,100,200,0,3000,1500,0,4800
20100233,18026,2010,8/2/2010 12:20,31174,"SHELL PIPELINE CO., L.P.",ERATH - EAST HOUSTON CRUDE,ONSHORE,UNDERGROUND,CRUDE OIL,,,LAKE ARTHUR,JEFFERSON DAVIS,LA,"300,795","-927,465",MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5,0,0,5,NO,NO,YES,8/2/2010 12:21,10/2/2010 10:23,0,,,,,,,,,,,,,230000,400,30000,120000,0,0,380400
20100256,17808,2010,9/2/2010 10:00,15674,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,BATON ROUGE,EAST BATON ROUGE,LA,"3,054,741","-9,016,677",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0,0.64,0,NO,NO,,,,,,,,,,,,,,,,,500,0,0,450,0,0,950
20100253,17861,2010,9/2/2010 15:25,1845,"BUCKEYE PARTNERS, LP",CLERMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,LINCOLN,HENDRICKS,IN,"398,106","-863,342",NATURAL FORCE DAMAGE,TEMPERATURE,0.71,0,0.71,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,0,0,2314,3063,0,5377
20100001,15751,2010,2/16/2010 7:42 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",WAYNE JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,WAYNE,DUPAGE,IL,"4,194,352","-8,823,353",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,0,0.12,0,NO,NO,NO,,,,,,,,,,,,,,,,25900,15,0,1500,1900,1200,30515
20100036,17417,2010,2/17/2010 5:45 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY PUMP STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,KANSAS CITY,WYANDOTTE,KS,"3,913,776","-945,968",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,,0.12,0,NO,NO,NO,,,,,,,,,,,,,,,,1000,14,0,0,500,0,1514
20100004,19086,2010,2/19/2010 6:50 AM,1845,"BUCKEYE PARTNERS, LP",LINDEN STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,LINDEN,UNION,NJ,"406,086","-742,399",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.95,,0.95,0,NO,NO,YES,2/19/2010 6:52,2/19/2010 13:52,,,,,,,,,,,,,,0,0,0,4400,12700,0,17100
20100009,17618,2010,2/20/2010 6:30 AM,18718,SUNOCO PIPELINE L.P.,THOMAS STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,LONGVIEW,GREGG,TX,"324,785","-948,679",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,8,0,6,2,NO,NO,YES,2/20/2010 6:35,2/20/2010 23:30,0,,,,,,,,,,,,,3449,152,0,5634,84278,0,93513
20100005,17663,2010,2/21/2010 12:45 PM,300,"PLAINS PIPELINE, L.P.",D-BOOSTER 10-INCH,ONSHORE,UNDERGROUND,CRUDE OIL,,,MCCAMEY,UPTON,TX,"3,113,284","-10,118,974",CORROSION,INTERNAL,9,0,9,0,NO,NO,NO,,,0,,,,,,,,,,,,,700,585,0,600,11000,4600,17485
20100003,18021,2010,2/22/2010 10:38 AM,32035,LDH ENERGY PIPELINE L.P.,W. TX. NGL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,BIG SPRING,HOWARD,TX,"3,222,471","-1,014,044",CORROSION,EXTERNAL,1,116,0,1,NO,NO,NO,,,0,,,,,,,,,,,,,0,2360,0,0,0,24500,26860
20100006,17891,2010,2/22/2010 10:56 AM,31684,CONOCOPHILLIPS,NORTH SPOKANE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,SPOKANE,SPOKANE,WA,"4,771,696","-11,735,583",INCORRECT OPERATION,INCORRECT VALVE POSITION,0.71,,0,0.71,NO,NO,NO,,,0,,,,,,,,,,,,,500,90,0,2200,6000,0,8790
20100007,17296,2010,2/23/2010 11:30 PM,32109,ONEOK NGL PIPELINE LP,HEARTLAND COUNCIL BLUFFS,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,COUNCIL BLUFFS,POTTAWATAMIE,IA,"4,121,235","-958,301",INCORRECT OPERATION,INCORRECT VALVE POSITION,28,0,0,28,NO,NO,NO,,,0,,,,,,,,,,,,,0,2286,0,0,126721,0,129007
20100008,19253,2010,2/25/2010 4:50 AM,32109,ONEOK NGL PIPELINE LP,"10"" PIPELINE FROM HWY 64 JCT. TO MEDFORD PLANT",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,RAW FEED,POND CREEK,GRANT,OK,"366,659","-978,846",INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,13718,0,0,13718,NO,NO,YES,2/25/2010 6:45,3/22/2010 4:52,5,,,,,,,,,,,,,966352,622934,7500,3000,0,0,1599786
20100010,18409,2010,2/25/2010 10:00 AM,2552,COLONIAL PIPELINE CO,,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,,,NC,"3,548,354","-807,357",MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.55,0,0.55,0,NO,NO,,,,,,,,,,,,,,,,,15200,50,0,0,0,700,15950
20100014,17569,2010,1/3/2010 8:10,12470,MID - VALLEY PIPELINE CO,LONGVIEW STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,LONGVIEW,GREGG,TX,"3,248,325","-9,483,034",CORROSION,INTERNAL,198,0,196,2,NO,NO,YES,1/3/2010 8:12,1/3/2010 14:00,0,,,,,,,,,,,,,1134,150,0,11470,3264,0,16018
20100011,17630,2010,1/3/2010 9:16,15774,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,CLEARBROOK TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,CLEARBROOK,CLEARWATER,MN,"4,768,857","-9,541,732",INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,3,0,3,0,NO,NO,YES,1/3/2010 9:17,1/3/2010 12:03,0,,,,,,,,,,,,,0,80,0,0,3000,16000,19080
20100002,19837,2010,1/3/2010 11:50,31672,"CHAPARRAL ENERGY, LLC",,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),,,HAYNE,SEWARD,KS,"3,710,847","-10,080,037",ALL OTHER CAUSES,MISCELLANEOUS,2.99,,0,2.99,NO,NO,YES,1/3/2010 11:51,5/3/2010 2:00,0,,,,,,,,,,,,,3500,10,0,0,0,0,3510
20100020,17733,2010,3/3/2010 22:20,31618,ENTERPRISE PRODUCTS OPERATING LLC,,OFFSHORE,,CRUDE OIL,,,,,,"2,810,406","-9,079,238",MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.5,0,0,0.5,NO,NO,NO,,,0,,,,,,,,,,,,,100,75,0,598,0,0,773
20100012,15228,2010,4/3/2010 5:30,2552,COLONIAL PIPELINE CO,LAKE CHARLES LINE 1 DYNATROL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,SULPHUR,CALCASIEU,LA,"3,016,801","-9,334,001",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,7.88,0,7.08,0.8,NO,NO,YES,4/3/2010 5:30,4/3/2010 7:30,,,,,,,,,,,,,,7000,500,13000,15000,27000,2500,65000
